transaction_id,deterministic_invoice,deterministic_decision,deterministic_score,expected_invoice,correct,ai_decision,ai_invoice,ai_confidence,ai_risk,ai_reason
B0362,INV0362,MATCHED,100.0,INV0362,True,,,,,
B0074,INV0074,MATCHED,100.0,INV0074,True,,,,,
B0375,INV0375,MATCHED,100.0,INV0375,True,,,,,
B0156,INV0156,MATCHED,100.0,INV0156,True,,,,,
B0105,INV0105,MATCHED,100.0,INV0105,True,,,,,
B0395,INV0395,MATCHED,100.0,INV0395,True,,,,,
B0378,INV0378,MATCHED,100.0,INV0378,True,,,,,
B0125,INV0125,MATCHED,100.0,INV0125,True,,,,,
B0069,INV0069,MATCHED,100.0,INV0069,True,,,,,
B0451,INV0451,MATCHED,100.0,INV0451,True,,,,,
B0010,INV0010,MATCHED,100.0,INV0010,True,,,,,
B0195,INV0195,MATCHED,100.0,INV0195,True,,,,,
B0407,INV0407,MATCHED,100.0,INV0407,True,,,,,
B0085,INV0085,MATCHED,100.0,INV0085,True,,,,,
B0372,INV0372,MATCHED,100.0,INV0372,True,,,,,
B0389,INV0389,MATCHED,100.0,INV0389,True,,,,,
B0496,INV0496,MATCHED,100.0,INV0496,True,,,,,
B0031,INV0031,MATCHED,100.0,INV0031,True,,,,,
B0317,INV0317,MATCHED,100.0,INV0317,True,,,,,
B0409,INV0409,MATCHED,100.0,INV0409,True,,,,,
B0491,,EXCEPTION,47.69230769230769,INV0491,False,REVIEW,,0.0,LOW,The transaction does not match any provided ERP candidate based on the provided evidence.
B0492,INV0492,MATCHED,100.0,INV0492,True,,,,,
B0281,INV0281,MATCHED,100.0,INV0281,True,,,,,
B0357,INV0357,MATCHED,100.0,INV0357,True,,,,,
B0077,INV0077,MATCHED,100.0,INV0077,True,,,,,
B0462,INV0462,MATCHED,100.0,INV0462,True,,,,,
B0498,INV0498,MATCHED,100.0,INV0498,True,,,,,
B0212,INV0212,MATCHED,100.0,INV0212,True,,,,,
B0102,INV0102,MATCHED,100.0,INV0102,True,,,,,
B0335,INV0335,MATCHED,100.0,INV0335,True,,,,,
B0476,INV0476,MATCHED,100.0,INV0476,True,,,,,
B0337,INV0337,MATCHED,100.0,INV0337,True,,,,,
B0441,INV0441,MATCHED,100.0,INV0441,True,,,,,
B0174,INV0174,MATCHED,100.0,INV0174,True,,,,,
B0003,INV0003,MATCHED,100.0,INV0003,True,,,,,
B0334,INV0334,MATCHED,100.0,INV0334,True,,,,,
B0410,INV0410,MATCHED,100.0,INV0410,True,,,,,
B0071,INV0071,MATCHED,100.0,INV0071,True,,,,,
B0210,INV0210_DUP,WARNING,100.0,INV0210,False,MATCH,INV0210_DUP,95.0,LOW,"The transaction matches the ERP candidate on reference, amount, date and vendor."
B0064,INV0064,MATCHED,100.0,INV0064,True,,,,,
B0385,INV0385,MATCHED,100.0,INV0385,True,,,,,
B0094,INV0094,MATCHED,100.0,INV0094,True,,,,,
B0486,INV0486,MATCHED,100.0,INV0486,True,,,,,
B0186,INV0186,MATCHED,100.0,INV0186,True,,,,,
B0034,INV0034,MATCHED,100.0,INV0034,True,,,,,
B0078,INV0078,MATCHED,100.0,INV0078,True,,,,,
B0001,INV0001,MATCHED,100.0,INV0001,True,,,,,
B0012,INV0012,MATCHED,100.0,INV0012,True,,,,,
B0416,,EXCEPTION,46.25,INV0416,False,REVIEW,,0.0,LOW,The transaction does not match any provided ERP candidate based on the provided evidence.
B0023,INV0023,MATCHED,100.0,INV0023,True,,,,,
B0073,INV0073,MATCHED,100.0,INV0073,True,,,,,
B0183,INV0183,WARNING,100.0,INV0183,True,MATCH,INV0183,95.0,LOW,"The transaction matches the ERP candidate on reference, amount, date and vendor."
B0132,INV0132,MATCHED,100.0,INV0132,True,,,,,
B0411,INV0411,MATCHED,100.0,INV0411,True,,,,,
B0194,INV0194,MATCHED,100.0,INV0194,True,,,,,
