transaction_id,ai_decision,ai_invoice,ai_confidence,ai_reason,ai_risk,verification_decision,verification_reason,verification_checks
B0491,REVIEW,,0.0,The transaction does not match any provided ERP candidate based on the provided evidence.,LOW,REVIEW,AI could not confidently select a candidate,
B0210,MATCH,INV0210_DUP,95.0,"The transaction matches the ERP candidate on reference, amount, date and vendor.",LOW,REVIEW,,"{'candidate_exists': True, 'reference_matches': True, 'amount_difference': 0.0, 'amount_matches': True, 'date_difference': 0, 'date_matches': True, 'vendor_similarity': 63.1578947368421}"
B0416,REVIEW,,0.0,The transaction does not match any provided ERP candidate based on the provided evidence.,LOW,REVIEW,AI could not confidently select a candidate,
B0183,MATCH,INV0183,95.0,"The transaction matches the ERP candidate on reference, amount, date and vendor.",LOW,MATCHED,,"{'candidate_exists': True, 'reference_matches': True, 'amount_difference': 0.0, 'amount_matches': True, 'date_difference': 0, 'date_matches': True, 'vendor_similarity': 100.0}"
B0324,MATCH,INV0324,95.0,"The transaction matches the ERP candidate on reference, amount, date and vendor.",LOW,REVIEW,,"{'candidate_exists': True, 'reference_matches': True, 'amount_difference': 5000.0, 'amount_matches': False, 'date_difference': 0, 'date_matches': True, 'vendor_similarity': 63.1578947368421}"
B0342,MATCH,INV0342_DUP,95.0,"The transaction matches the ERP candidate on reference, amount, date and vendor.",LOW,MATCHED,,"{'candidate_exists': True, 'reference_matches': True, 'amount_difference': 0.0, 'amount_matches': True, 'date_difference': 0, 'date_matches': True, 'vendor_similarity': 100.0}"
B0269,REVIEW,,55.0,"The transaction matches the ERP candidate on reference, amount, and date but not on vendor similarity.",LOW,REVIEW,AI could not confidently select a candidate,
B0181,MATCH,INV0181_DUP,95.0,"The transaction matches the ERP candidate on reference, amount, date and vendor.",LOW,REVIEW,,"{'candidate_exists': True, 'reference_matches': True, 'amount_difference': 5000.0, 'amount_matches': False, 'date_difference': 0, 'date_matches': True, 'vendor_similarity': 50.0}"
B0313,REVIEW,,55.0,"The transaction does not have a perfect match based on the provided candidates. There are no candidates with exact reference, amount, date, and vendor similarity.",LOW,REVIEW,AI could not confidently select a candidate,
B0363,REVIEW,,47.0,"The transaction matches the ERP candidate on reference, amount, and date, but the vendor similarity is low.",LOW,REVIEW,AI could not confidently select a candidate,
B0302,MATCH,INV0302,95.0,"The transaction matches the ERP candidate on reference, amount, date and vendor.",LOW,REVIEW,,"{'candidate_exists': True, 'reference_matches': True, 'amount_difference': 500.0, 'amount_matches': False, 'date_difference': 0, 'date_matches': True, 'vendor_similarity': 100.0}"
B0221,MATCH,INV0221,100.0,"The transaction matches the ERP candidate on reference, amount, date and vendor.",LOW,MATCHED,,"{'candidate_exists': True, 'reference_matches': True, 'amount_difference': 0.0, 'amount_matches': True, 'date_difference': 0, 'date_matches': True, 'vendor_similarity': 100.0}"
B0418,MATCH,INV0418_DUP,95.0,"The transaction matches the ERP candidate on reference, amount, date and vendor.",LOW,MATCHED,,"{'candidate_exists': True, 'reference_matches': True, 'amount_difference': 0.0, 'amount_matches': True, 'date_difference': 0, 'date_matches': True, 'vendor_similarity': 100.0}"
B0127,REVIEW,,50.0,The transaction does not match any provided ERP candidate based on the provided evidence.,LOW,REVIEW,AI could not confidently select a candidate,
B0032,REVIEW,,58.25,The transaction does not match any provided ERP candidate based on the provided evidence.,LOW,REVIEW,AI could not confidently select a candidate,
B0429,REVIEW,,55.0,"The transaction requires review due to conflicting evidence. Multiple candidates have strong signals but no single candidate has exact reference, amount, date, and vendor match.",LOW,REVIEW,AI could not confidently select a candidate,
B0176,REVIEW,,55.0,The transaction does not match any of the provided ERP candidates based on the provided evidence hierarchy.,LOW,REVIEW,AI could not confidently select a candidate,
B0145,MATCH,INV0480,95.0,"The transaction matches the ERP candidate on reference, amount, date and vendor.",LOW,REVIEW,,"{'candidate_exists': True, 'reference_matches': False, 'amount_difference': 0.0, 'amount_matches': True, 'date_difference': 133, 'date_matches': False, 'vendor_similarity': 100.0}"
B0366,REVIEW,,52.5,The transaction does not match any provided ERP candidate based on the provided evidence.,LOW,REVIEW,AI could not confidently select a candidate,
B0368,MATCH,INV0368,100.0,"The transaction matches the ERP candidate on reference, amount, date and vendor.",LOW,REVIEW,,"{'candidate_exists': True, 'reference_matches': True, 'amount_difference': 0.0, 'amount_matches': True, 'date_difference': 0, 'date_matches': True, 'vendor_similarity': 50.0}"
B0178,MATCH,INV0178,100.0,"The transaction matches the ERP candidate on reference, amount, date and vendor.",LOW,MATCHED,,"{'candidate_exists': True, 'reference_matches': True, 'amount_difference': 0.0, 'amount_matches': True, 'date_difference': 0, 'date_matches': True, 'vendor_similarity': 100.0}"
B0082,REVIEW,,50.0,"The transaction matches the ERP candidate on reference, amount, and date, but there is no strong vendor similarity.",LOW,REVIEW,AI could not confidently select a candidate,
B0470,REVIEW,,55.0,The transaction requires review due to a material amount discrepancy and conflicting evidence.,LOW,REVIEW,AI could not confidently select a candidate,
B0259,REVIEW,,53.0,The transaction does not match any provided ERP candidate due to material amount discrepancy and lack of other strong signals.,LOW,REVIEW,AI could not confidently select a candidate,
B0350,MATCH,INV0350_DUP,95.0,"The transaction matches the ERP candidate on reference, amount, date and vendor.",LOW,REVIEW,,"{'candidate_exists': True, 'reference_matches': True, 'amount_difference': 0.0, 'amount_matches': True, 'date_difference': 0, 'date_matches': True, 'vendor_similarity': 30.76923076923077}"
B0225,REVIEW,,55.0,"The transaction matches the ERP candidate on reference, amount, and date but not on vendor.",LOW,REVIEW,AI could not confidently select a candidate,
B0461,REVIEW,,0.0,The transaction does not match any of the provided ERP candidates based on the provided evidence.,LOW,REVIEW,AI could not confidently select a candidate,
B0187,REVIEW,,0.0,The transaction does not match any provided ERP candidate due to material amount discrepancy and lack of other strong signals.,MEDIUM,REVIEW,AI could not confidently select a candidate,
B0036,REVIEW,,50.0,"The transaction matches the ERP candidate on reference, amount, and date, but there is no strong vendor similarity.",LOW,REVIEW,AI could not confidently select a candidate,
B0052,MATCH,INV0052_DUP,95.0,"The transaction matches the ERP candidate on reference, amount, date and vendor.",LOW,REVIEW,,"{'candidate_exists': True, 'reference_matches': True, 'amount_difference': 0.0, 'amount_matches': True, 'date_difference': 0, 'date_matches': True, 'vendor_similarity': 30.76923076923077}"
B0268,REVIEW,,0.0,The transaction does not match any provided ERP candidate based on the provided evidence.,LOW,REVIEW,AI could not confidently select a candidate,
B0028,MATCH,INV0028_DUP,95.0,"The transaction matches the ERP candidate on reference, amount, date and vendor.",LOW,MATCHED,,"{'candidate_exists': True, 'reference_matches': True, 'amount_difference': 0.0, 'amount_matches': True, 'date_difference': 0, 'date_matches': True, 'vendor_similarity': 100.0}"
B0231,REVIEW,,56.67,"The transaction matches the ERP candidate on reference, amount, and date, but the vendor similarity is low (25.0).",LOW,REVIEW,AI could not confidently select a candidate,
B0426,MATCH,INV0426,95.0,"The transaction matches the ERP candidate on reference, amount, date and vendor.",LOW,REVIEW,,"{'candidate_exists': True, 'reference_matches': True, 'amount_difference': 2100.0, 'amount_matches': False, 'date_difference': 0, 'date_matches': True, 'vendor_similarity': 100.0}"
B0044,REVIEW,,50.0,"The transaction does not have exact reference, amount, date, or vendor match with any provided ERP candidates. There is a material amount difference (₹22,000 vs ₹22,050).",MEDIUM,REVIEW,AI could not confidently select a candidate,
B0191,REVIEW,,0.0,The transaction does not match any provided ERP candidate based on the provided evidence.,LOW,REVIEW,AI could not confidently select a candidate,
B0053,REVIEW,,50.0,"The transaction matches the ERP candidate on reference, amount, and date, but there is no strong vendor similarity.",LOW,REVIEW,AI could not confidently select a candidate,
B0089,MATCH,INV0097,95.0,"The transaction matches the ERP candidate on reference, amount, date and vendor.",LOW,REVIEW,,"{'candidate_exists': True, 'reference_matches': False, 'amount_difference': 0.0, 'amount_matches': True, 'date_difference': 10, 'date_matches': False, 'vendor_similarity': 100.0}"
B0331,MATCH,INV0001,95.0,"The transaction matches the ERP candidate on reference, amount, date and vendor.",HIGH,EXCEPTION,AI selected an invoice outside the candidate set,
B0021,REVIEW,,50.0,The transaction does not match any provided ERP candidate due to material amount discrepancy and conflicting evidence.,MEDIUM,REVIEW,AI could not confidently select a candidate,
